name,imgUri,price,description
Spectra,http://dummyimage.com/117x100.png/cc0000/ffffff,2823831,Wrist or foot drop (acquired)
G-Series G10,http://dummyimage.com/212x100.png/cc0000/ffffff,1909924,Trichiasis without entropian left lower eyelid
Fairlane,http://dummyimage.com/248x100.png/ff4444/ffffff,1275238,Acute embolism and thrombosis of right internal jugular vein
E250,http://dummyimage.com/200x100.png/dddddd/000000,1754461,"Pnctr w/o fb of unsp bk wl of thorax w penet thor cav, subs"
Galant,http://dummyimage.com/222x100.png/ff4444/ffffff,2875801,"Disp fx of r radial styloid pro, 7thH"
Equinox,http://dummyimage.com/198x100.png/cc0000/ffffff,1410132,"Burn of unsp degree of female genital region, init encntr"
Windstar,http://dummyimage.com/116x100.png/5fa2dd/ffffff,1821122,"Burn of unspecified degree of left thigh, subs encntr"
M5,http://dummyimage.com/225x100.png/cc0000/ffffff,2258136,Gnathostomiasis
200SX,http://dummyimage.com/248x100.png/cc0000/ffffff,2850806,"Retinopathy of prematurity, stage 4, right eye"
Ram Van B150,http://dummyimage.com/169x100.png/dddddd/000000,1928057,"Abrasion of throat, sequela"
Avalon,http://dummyimage.com/113x100.png/5fa2dd/ffffff,2403690,"Displ post arch fx 1st cervcal vert, subs for fx w nonunion"
Jimmy,http://dummyimage.com/161x100.png/cc0000/ffffff,2275807,"Unsp open wound of unsp great toe w/o damage to nail, init"
Z4 M,http://dummyimage.com/162x100.png/cc0000/ffffff,2108685,"Laceration of musc/fasc/tend at forearm level, unsp arm"
Golf,http://dummyimage.com/167x100.png/cc0000/ffffff,1050882,Oth symptoms and signs involving the nervous and ms systems
Challenger,http://dummyimage.com/129x100.png/cc0000/ffffff,1147243,Acute reaction to foreign substance acc left dur proc
Sonata,http://dummyimage.com/170x100.png/cc0000/ffffff,2051086,"Superficial frostbite of unsp knee and lower leg, sequela"
Neon,http://dummyimage.com/147x100.png/ff4444/ffffff,1565031,"Lac w/o fb of l frnt wl of thorax w penet thor cavity, init"
Escort,http://dummyimage.com/128x100.png/cc0000/ffffff,2489661,"Cmplx tear of medial mensc, current injury, r knee, sequela"
X-Type,http://dummyimage.com/160x100.png/dddddd/000000,1216974,"Nondisp fx of dist phalanx of r rng fngr, 7thG"
E250,http://dummyimage.com/235x100.png/5fa2dd/ffffff,2699974,Corrosion of first degree of back of left hand
240,http://dummyimage.com/123x100.png/ff4444/ffffff,1853151,"Unsp fx fourth MC bone, left hand, subs for fx w routn heal"
6000,http://dummyimage.com/176x100.png/ff4444/ffffff,2296181,"Corros unsp deg mult sites of lower limb, except ank/ft"
F250,http://dummyimage.com/249x100.png/cc0000/ffffff,2070037,Dislocation of midcarpal joint of unspecified wrist
Phantom,http://dummyimage.com/218x100.png/ff4444/ffffff,2210268,"Late newborn, not heavy for gestational age"
Bonneville,http://dummyimage.com/179x100.png/cc0000/ffffff,2369591,"Puncture wound with foreign body of larynx, init encntr"
Soul,http://dummyimage.com/127x100.png/cc0000/ffffff,2635837,Acute vascular disorders of intestine
Tracker,http://dummyimage.com/157x100.png/cc0000/ffffff,1278672,Corrosion of first degree of elbow
Topaz,http://dummyimage.com/221x100.png/cc0000/ffffff,1677840,"Disp fx of neck of left talus, init for clos fx"
Boxster,http://dummyimage.com/181x100.png/ff4444/ffffff,1320721,"Radiohumeral (joint) sprain of left elbow, sequela"
Fit,http://dummyimage.com/182x100.png/cc0000/ffffff,1024838,"Other specified enthesopathies of lower limb, excluding foot"
Sonata,http://dummyimage.com/129x100.png/dddddd/000000,2693533,"Poisoning by vitamins, intentional self-harm"
Crown Victoria,http://dummyimage.com/152x100.png/cc0000/ffffff,2402879,"Unspecified disp fx of sixth cervical vertebra, sequela"
Suburban 2500,http://dummyimage.com/249x100.png/dddddd/000000,2029148,Nondisplaced fracture of anterior column of right acetabulum
Miata MX-5,http://dummyimage.com/157x100.png/ff4444/ffffff,2070100,"Superficial foreign body, unspecified hip"
MDX,http://dummyimage.com/192x100.png/5fa2dd/ffffff,1519488,"Other sprain of unspecified thumb, initial encounter"
S10,http://dummyimage.com/180x100.png/5fa2dd/ffffff,1463112,Direct infct of unsp hand in infec/parastc dis classd elswhr
Vantage,http://dummyimage.com/152x100.png/cc0000/ffffff,1308857,"Nondisp fx of nk of l rad, 7thJ"
Aurora,http://dummyimage.com/125x100.png/cc0000/ffffff,1101512,"Prsn brd/alit mtrcy injured in collision w ped/anml, init"
Mark LT,http://dummyimage.com/153x100.png/cc0000/ffffff,2680377,"Subluxation of distal interphaln joint of l idx fngr, init"
A8,http://dummyimage.com/164x100.png/ff4444/ffffff,1276815,"Other bursitis, not elsewhere classified, knee"
W201,http://dummyimage.com/220x100.png/cc0000/ffffff,2699295,Venous engorgement
Flex,http://dummyimage.com/210x100.png/dddddd/000000,1006772,Chalazion left upper eyelid
Escalade,http://dummyimage.com/224x100.png/5fa2dd/ffffff,2534284,"Mature T/NK-cell lymphomas, unspecified, unspecified site"
V40,http://dummyimage.com/141x100.png/dddddd/000000,1141716,Spina bifida occulta
Ram Van B350,http://dummyimage.com/192x100.png/ff4444/ffffff,1490117,"Smith's fx unsp radius, subs for opn fx type I/2 w nonunion"
370Z,http://dummyimage.com/126x100.png/dddddd/000000,2961487,Non-prs chronic ulcer oth prt r low leg w necrosis of muscle
Element,http://dummyimage.com/120x100.png/5fa2dd/ffffff,1692956,"Laceration with foreign body of trachea, subs encntr"
Horizon,http://dummyimage.com/244x100.png/ff4444/ffffff,1163015,"Drown due to acc on board wtrcrft, w/o accident to wtrcrft"
Silverado 3500,http://dummyimage.com/160x100.png/5fa2dd/ffffff,1340901,"Oth injury of anterior tibial artery, unsp leg, subs encntr"
Soul,http://dummyimage.com/214x100.png/5fa2dd/ffffff,1904706,"Stress fracture, right finger(s)"
300M,http://dummyimage.com/246x100.png/cc0000/ffffff,1046710,Fracture of neck of first metacarpal bone
Insight,http://dummyimage.com/246x100.png/5fa2dd/ffffff,2344404,Specific reading disorder
Savana 3500,http://dummyimage.com/107x100.png/dddddd/000000,1628281,"Major laceration of liver, subsequent encounter"
Falcon,http://dummyimage.com/222x100.png/dddddd/000000,2730251,Acquired atrophy of ovary and fallopian tube
Lumina,http://dummyimage.com/177x100.png/ff4444/ffffff,1798605,"Strain of intrinsic msl/tnd at ank/ft level, r foot, subs"
Neon,http://dummyimage.com/217x100.png/dddddd/000000,2580436,Drown due to falling or jumping from crushed water-skis
Roadmaster,http://dummyimage.com/156x100.png/5fa2dd/ffffff,1345845,"Toxic effect of glycols, assault"
Protege,http://dummyimage.com/110x100.png/cc0000/ffffff,1694153,"Displ oth fx tuberosity of unsp calcaneus, 7thD"
2500 Club Coupe,http://dummyimage.com/216x100.png/ff4444/ffffff,2117849,Resistance to other specified antimicrobial drug
Yukon,http://dummyimage.com/106x100.png/cc0000/ffffff,2809731,Flu due to unidentified influenza virus w oth resp manifest
Contour,http://dummyimage.com/234x100.png/dddddd/000000,1099456,"Ped on foot injured in clsn w 2/3-whl mv in traf, sequela"
Countryman,http://dummyimage.com/183x100.png/dddddd/000000,2779190,"Open bite of unspecified part of neck, initial encounter"
Expedition,http://dummyimage.com/184x100.png/5fa2dd/ffffff,2530209,"Unsp superficial injury of right lesser toe(s), init encntr"
Sonata,http://dummyimage.com/221x100.png/5fa2dd/ffffff,2901783,Fall same lev from slip/trip w strike agnst unsp sharp obj
Tracker,http://dummyimage.com/243x100.png/ff4444/ffffff,1211106,"Drowning and submersion due to unpowr wtrcrft sinking, subs"
Altima,http://dummyimage.com/110x100.png/dddddd/000000,2092676,"Path fx in oth disease, r humerus, subs for fx w delay heal"
Sonoma Club Coupe,http://dummyimage.com/195x100.png/cc0000/ffffff,1689468,Prsn brd/alit from bus injured in collision w rail trn/veh
GTO,http://dummyimage.com/228x100.png/5fa2dd/ffffff,1182352,3-methylglutaconic aciduria
Ram 2500,http://dummyimage.com/129x100.png/ff4444/ffffff,1682421,"War operations involving oth explosn and fragments, civilian"
Savana 2500,http://dummyimage.com/212x100.png/5fa2dd/ffffff,2764347,Asymptomatic premature menopause
XJ Series,http://dummyimage.com/233x100.png/ff4444/ffffff,1086334,Explosion and rupture of aerosol can
S-Series,http://dummyimage.com/151x100.png/ff4444/ffffff,1633663,"Congenital dislocation of unspecified hip, unilateral"
Alliance,http://dummyimage.com/125x100.png/cc0000/ffffff,2953177,"Pasngr on bus injured in clsn w nonmtr vehicle nontraf, init"
Lancer,http://dummyimage.com/175x100.png/5fa2dd/ffffff,1469746,"Cont preg aft elctv fetl rdct of 1 fts or more,unsp tri,fts3"
Caprice,http://dummyimage.com/242x100.png/dddddd/000000,2610003,"Disp fx of shaft of 3rd MC bone, r hand, 7thK"
Laser,http://dummyimage.com/110x100.png/5fa2dd/ffffff,2112855,"Poisoning by oth antipsychot/neurolept, accidental, subs"
Miata MX-5,http://dummyimage.com/245x100.png/cc0000/ffffff,2184178,"Nondisp fx of neck of unsp talus, subs for fx w routn heal"
Ram Van 1500,http://dummyimage.com/182x100.png/5fa2dd/ffffff,2453480,"Asphyx due to being trapped in bed linens, self-harm, subs"
Envoy XL,http://dummyimage.com/250x100.png/cc0000/ffffff,2708909,"Occup of dune buggy injured in nontraffic accident, subs"
IS,http://dummyimage.com/213x100.png/ff4444/ffffff,2379562,"Partial traumatic trnsphal amp of r little finger, subs"
Supra,http://dummyimage.com/203x100.png/5fa2dd/ffffff,2845384,"Malig neoplm of prph nerves of left upper limb, inc shoulder"
Colorado,http://dummyimage.com/136x100.png/dddddd/000000,1680197,"Path fracture in neoplastic disease, left femur, init"
Grand Caravan,http://dummyimage.com/131x100.png/ff4444/ffffff,1844761,Segmental fracture of shaft of radius
Explorer,http://dummyimage.com/159x100.png/cc0000/ffffff,2491398,Postproc hemor of a nervous sys org fol a nervous sys proc
5 Series,http://dummyimage.com/235x100.png/ff4444/ffffff,1527378,Sleep disorders not due to a substance or known physiol cond
VS Commodore,http://dummyimage.com/164x100.png/5fa2dd/ffffff,2506565,Toxic effect of snake venom
Lancer,http://dummyimage.com/114x100.png/dddddd/000000,2290902,"Contusion of abdominal wall, sequela"
Quattroporte,http://dummyimage.com/236x100.png/ff4444/ffffff,1382733,"Displacement of indwelling urethral catheter, sequela"
F-Series,http://dummyimage.com/150x100.png/ff4444/ffffff,1852446,"Stiffness of hip, not elsewhere classified"
Forester,http://dummyimage.com/225x100.png/cc0000/ffffff,2139160,Other acquired abnormalities of right ear ossicles
Silverado 1500,http://dummyimage.com/198x100.png/ff4444/ffffff,1251490,"Poisn by mineralocorticoids and antag, self-harm, sequela"
Passport,http://dummyimage.com/199x100.png/cc0000/ffffff,1826194,"Major laceration of inferior vena cava, sequela"
Mustang,http://dummyimage.com/164x100.png/ff4444/ffffff,2488522,"Injury of unsp nerve at forearm level, left arm, sequela"
Roadster,http://dummyimage.com/195x100.png/ff4444/ffffff,2487975,"Injury of other specified nerves of neck, initial encounter"
Yukon,http://dummyimage.com/147x100.png/ff4444/ffffff,2671203,"Disp fx of shaft of 3rd MC bone, r hand, 7thK"
Colt,http://dummyimage.com/193x100.png/cc0000/ffffff,1917170,Monoplg upr lmb fol unsp cerebvasc dis aff right nondom side
Altima,http://dummyimage.com/221x100.png/5fa2dd/ffffff,2624033,Traumatic amputation of nose
Tracer,http://dummyimage.com/148x100.png/5fa2dd/ffffff,1827068,"Pnctr w/o fb of unsp frnt wl of thrx w penet thor cav, init"
Sorento,http://dummyimage.com/171x100.png/5fa2dd/ffffff,1603048,"Ischemic optic neuropathy, unspecified eye"
GTO,http://dummyimage.com/212x100.png/5fa2dd/ffffff,1165416,"Inhalation of steam and other hot vapors, subs encntr"
Accord,http://dummyimage.com/209x100.png/cc0000/ffffff,1146888,Atresia of pulmonary artery
V40,http://dummyimage.com/164x100.png/ff4444/ffffff,2359103,Anticholinesterase agents
Charade,http://dummyimage.com/116x100.png/5fa2dd/ffffff,1189036,Neonatal hematemesis
Ram Van B250,http://dummyimage.com/199x100.png/dddddd/000000,1818879,"Disorder of bone density and structure, unspecified"
MX-5,http://dummyimage.com/166x100.png/dddddd/000000,1551812,Traumatic amputation of external genital organs
3500 Club Coupe,http://dummyimage.com/192x100.png/cc0000/ffffff,1038304,"Oth fracture of first thoracic vertebra, init for clos fx"
Sable,http://dummyimage.com/172x100.png/cc0000/ffffff,1946663,"Fx unsp phalanx of r rng fngr, subs for fx w routn heal"
Sportvan G20,http://dummyimage.com/165x100.png/ff4444/ffffff,1454669,Other intracranial (nontraumatic) hemorrhages of newborn
MR2,http://dummyimage.com/110x100.png/dddddd/000000,1521846,"Nondisp simp suprcndl fx w/o intrcndl fx r humer, 7thK"
Spider,http://dummyimage.com/102x100.png/5fa2dd/ffffff,2830099,Retained foreign body in left lower eyelid
CX-7,http://dummyimage.com/212x100.png/ff4444/ffffff,1949372,"Oth nondisp fx of third cervical vertebra, init for clos fx"
Accord,http://dummyimage.com/141x100.png/dddddd/000000,1950397,"Disp fx of r radial styloid pro, 7thQ"
Savana 1500,http://dummyimage.com/204x100.png/ff4444/ffffff,2652765,"Inj oth musc/tend at lower leg level, right leg, sequela"
LS Hybrid,http://dummyimage.com/208x100.png/cc0000/ffffff,1812653,"Unsp physl fx upr end humer, l arm, subs for fx w malunion"
CX-9,http://dummyimage.com/231x100.png/5fa2dd/ffffff,1575643,"Activities involving climbing, rappelling and jumping off"
Diablo,http://dummyimage.com/166x100.png/cc0000/ffffff,2128553,Toxic effect of noxious substances eaten as seafood
Yukon,http://dummyimage.com/208x100.png/5fa2dd/ffffff,2892731,"Poisoning by unsp antieplptc and sed-hypntc drugs, assault"
Tercel,http://dummyimage.com/201x100.png/dddddd/000000,2694446,"Nondisplaced Rolando's fracture, right hand, init"
C-Class,http://dummyimage.com/226x100.png/ff4444/ffffff,1246131,Leakage of unspecified vascular graft
3500 Club Coupe,http://dummyimage.com/155x100.png/dddddd/000000,1423578,Person injured wh brd/alit from special construction vehicle
VUE,http://dummyimage.com/180x100.png/ff4444/ffffff,1209431,"Sprain of unspecified coracohumeral (ligament), init encntr"
Prelude,http://dummyimage.com/159x100.png/dddddd/000000,1810410,"Hemorrhagic choroidal detachment, unspecified eye"
Roadmaster,http://dummyimage.com/132x100.png/5fa2dd/ffffff,1636874,"Other calcification of muscle, left shoulder"
626,http://dummyimage.com/184x100.png/dddddd/000000,1586567,"Oth non-ABO incompat react d/t tranfs of bld/bld prod, sqla"
Sebring,http://dummyimage.com/175x100.png/cc0000/ffffff,2455135,"Neuromuscular scoliosis, site unspecified"
Express 2500,http://dummyimage.com/222x100.png/dddddd/000000,1644480,"Nondisp fx of prox phalanx of r idx fngr, 7thK"
Armada,http://dummyimage.com/229x100.png/dddddd/000000,2833609,Injury of facial nerve
Fortwo,http://dummyimage.com/186x100.png/cc0000/ffffff,2626951,"Displaced spiral fracture of shaft of left tibia, init"
Sunfire,http://dummyimage.com/235x100.png/ff4444/ffffff,2898369,"Strain of muscle, fascia and tendon of triceps, right arm"
9-3,http://dummyimage.com/209x100.png/5fa2dd/ffffff,1663818,"Taeniasis, unspecified"
SC,http://dummyimage.com/212x100.png/cc0000/ffffff,2696502,Other paralytic strabismus
Montero,http://dummyimage.com/193x100.png/5fa2dd/ffffff,2672380,"Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,init"
S70,http://dummyimage.com/120x100.png/cc0000/ffffff,1269536,"Traumatic rupture of oth ligament of unsp wrist, init encntr"
Edge,http://dummyimage.com/101x100.png/dddddd/000000,1554600,"Complete traum amp at level betw knee and ankl, unsp low leg"
Aspire,http://dummyimage.com/118x100.png/cc0000/ffffff,1070794,"Poisoning by androgens and anabolic congeners, assault, init"
DeVille,http://dummyimage.com/182x100.png/dddddd/000000,1184256,"Disp fx of med condyle of unsp femr, 7thQ"
Passport,http://dummyimage.com/137x100.png/ff4444/ffffff,1879769,"Burn of first degree of abdominal wall, initial encounter"
Vigor,http://dummyimage.com/119x100.png/dddddd/000000,1080275,"Paralytic calcifcn and ossification of muscle, left shoulder"
F-Series,http://dummyimage.com/116x100.png/ff4444/ffffff,2028472,"Nondisp seg fx shaft of r fibula, 7thG"
B-Series,http://dummyimage.com/229x100.png/ff4444/ffffff,1179472,Medial dislocation of left ulnohumeral joint
Lumina,http://dummyimage.com/160x100.png/ff4444/ffffff,2059461,"Osteitis deformans in neoplastic diseases, other site"
Monte Carlo,http://dummyimage.com/166x100.png/ff4444/ffffff,1724768,"Milt op w dest arcrft due to clsn w oth arcrft, civ, subs"
TL,http://dummyimage.com/137x100.png/cc0000/ffffff,1336296,"Disp fx of distal phalanx of left middle finger, init"
Sonoma,http://dummyimage.com/153x100.png/ff4444/ffffff,2615718,"Type I occipital condyle fracture, unspecified side"
Baja,http://dummyimage.com/175x100.png/ff4444/ffffff,2166370,"Intermittent hydrarthrosis, right shoulder"
Grand Cherokee,http://dummyimage.com/242x100.png/dddddd/000000,1335285,"Insect bite (nonvenomous), left great toe, initial encounter"
929,http://dummyimage.com/246x100.png/dddddd/000000,1256312,Syphilis complicating pregnancy
Sable,http://dummyimage.com/178x100.png/cc0000/ffffff,2607332,Antidiarrheal drugs
Impulse,http://dummyimage.com/227x100.png/dddddd/000000,2035746,"Carbuncle of trunk, unspecified"
A8,http://dummyimage.com/235x100.png/dddddd/000000,1864233,Jumping or diving into other water striking water surface
Esprit,http://dummyimage.com/161x100.png/5fa2dd/ffffff,1675520,"Unsp fx upper end of left tibia, init for opn fx type 3A/B/C"
Exige,http://dummyimage.com/216x100.png/dddddd/000000,2010683,"Other superficial bite of unspecified lesser toe(s), sequela"
Mighty Max Macro,http://dummyimage.com/169x100.png/cc0000/ffffff,2367454,"Nondisp fx of olecran pro w intartic extn unsp ulna, 7thM"
228,http://dummyimage.com/135x100.png/ff4444/ffffff,2499700,Malignant neoplasm of cortex of adrenal gland
Cherokee,http://dummyimage.com/102x100.png/ff4444/ffffff,1939771,"Lacerat extn musc/fasc/tend l rng fngr at wrs/hnd lv, subs"
Impala SS,http://dummyimage.com/218x100.png/cc0000/ffffff,2688719,"Pathological fracture, unsp foot, subs for fx w routn heal"
CT,http://dummyimage.com/243x100.png/ff4444/ffffff,2411265,Acute petrositis
Montero,http://dummyimage.com/146x100.png/5fa2dd/ffffff,1961118,Abnormal hematolog finding on antenatal screening of mother
Chariot,http://dummyimage.com/104x100.png/ff4444/ffffff,2835757,Basal cell carcinoma of skin of other and unsp parts of face
Express 1500,http://dummyimage.com/217x100.png/cc0000/ffffff,1246050,"Disp fx of r tibial spin, 7thR"
Talon,http://dummyimage.com/102x100.png/5fa2dd/ffffff,2364070,"Laceration with foreign body, right foot"
E150,http://dummyimage.com/106x100.png/ff4444/ffffff,1872333,"Injury of other nerves at lower leg level, right leg"
M Roadster,http://dummyimage.com/129x100.png/ff4444/ffffff,1573290,"Complication of surgical and medical care, unsp, init encntr"
1 Series,http://dummyimage.com/131x100.png/cc0000/ffffff,1025136,"Deep vascularization of cornea, left eye"
G5,http://dummyimage.com/201x100.png/cc0000/ffffff,2191823,"Unspecified fracture of fourth metacarpal bone, left hand"
Flex,http://dummyimage.com/231x100.png/dddddd/000000,2024675,"Toxic effect of aflatoxin, intentional self-harm, sequela"
Pajero,http://dummyimage.com/124x100.png/cc0000/ffffff,2455470,"Helicopter fire injuring occupant, sequela"
Villager,http://dummyimage.com/229x100.png/5fa2dd/ffffff,2206259,"Displ oblique fx shaft of l ulna, 7thQ"
Bronco,http://dummyimage.com/124x100.png/cc0000/ffffff,2714379,"Disp fx of med condyle of r femr, 7thN"
Eurovan,http://dummyimage.com/169x100.png/ff4444/ffffff,2382626,Ntrm subarach hemorrhage from left middle cerebral artery
Bonneville,http://dummyimage.com/241x100.png/dddddd/000000,1429974,Partial traumatic transphalangeal amputation of r rng fngr
Rodeo Sport,http://dummyimage.com/128x100.png/ff4444/ffffff,2785480,"Inj muscle, fascia and tendon of prt biceps, unsp arm, init"
Forenza,http://dummyimage.com/120x100.png/ff4444/ffffff,2735077,"Displ commnt fx l patella, 7thN"
Intrepid,http://dummyimage.com/147x100.png/dddddd/000000,2877662,"Corrosion of first degree of unspecified palm, init encntr"
Tempest,http://dummyimage.com/157x100.png/dddddd/000000,2773393,"Toxic effect of venom of caterpillars, accidental, subs"
B2000,http://dummyimage.com/115x100.png/cc0000/ffffff,2317477,Contusion of unspecified finger without damage to nail
Avalon,http://dummyimage.com/213x100.png/cc0000/ffffff,1359337,"Unsp inj blood vessels at lower leg level, right leg, init"
Brat,http://dummyimage.com/247x100.png/5fa2dd/ffffff,1269348,Acromegaly and pituitary gigantism
D150,http://dummyimage.com/245x100.png/5fa2dd/ffffff,1972674,"Nondisp fx of hook pro of hamate bone, r wrs, 7thP"
TundraMax,http://dummyimage.com/123x100.png/5fa2dd/ffffff,1358702,"Disp fx of greater trochanter of right femur, init"
Mountaineer,http://dummyimage.com/126x100.png/cc0000/ffffff,2289934,"Fb in oth and multiple parts of external eye, r eye, init"
SL-Class,http://dummyimage.com/188x100.png/ff4444/ffffff,2362860,"Legal intervention, means unsp, bystander injured, subs"
Bravada,http://dummyimage.com/210x100.png/ff4444/ffffff,2919235,"Sudden visual loss, bilateral"
Sidekick,http://dummyimage.com/206x100.png/dddddd/000000,1200522,"Traumatic rupture of other ligament of left wrist, sequela"
